brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
53573,for_sale,345000,3,2,10,1426736,Vidor,Texas,77662,1866,
93123,for_sale,425000,3,1,63.74,994658,Kirbyville,Texas,75956,1907,2022-03-14
81100,for_sale,549000,,,,1222119,Buna,Texas,77612,,2022-04-07
48623,for_sale,41000,,,2.1,1624359,Orange,Texas,77632,,2021-09-03
388,for_sale,249900,3,2,,801999,Orange,Texas,77630,2178,
81575,for_sale,15000,,,0.57,1891432,Orange,Texas,77630,,
51514,for_sale,70000,6,2,0.26,1184565,Orange,Texas,77630,2523,
81575,for_sale,291000,3,2,0.38,1363346,Orange,Texas,77632,1938,
78979,for_sale,35000,,,0.31,1949917,Vidor,Texas,77662,,
78979,for_sale,223500,,,37.25,1892738,Vidor,Texas,77662,,
13263,for_sale,135000,,,11,651084,Buna,Texas,77612,,
85388,for_sale,259999,,,11.87,583955,Buna,Texas,77612,,
78979,for_sale,372900,,,74.5,1892738,Vidor,Texas,77662,,
51514,for_sale,549000,,,27.6,1925871,Orange,Texas,77632,,
1851,for_sale,499900,,,5.8,1862759,Orange,Texas,77632,,
24647,for_sale,1062500,,,125,1901345,Orange,Texas,77632,,
24647,for_sale,1172500,,,335,1877276,Orange,Texas,77632,,
1554,for_sale,149900,3,2,0.61,484937,Bridge City,Texas,77611,1866,2007-08-09
53573,for_sale,110000,3,2,0.2,576688,Orange,Texas,77632,1743,
81575,for_sale,115000,3,1,1.35,860301,Orange,Texas,77632,1308,
33717,for_sale,255000,4,4,0.34,877955,Orange,Texas,77630,3556,
27172,for_sale,119900,3,2,0.33,767135,Port Arthur,Texas,77642,2460,
48623,for_sale,99995,3,2,1.97,108459,Orange,Texas,77632,1216,
81573,for_sale,365000,5,5,0.32,1574394,Orange,Texas,77630,3800,
93123,for_sale,169500,2,2,0.58,59034,Kirbyville,Texas,75956,1922,2022-04-05
27172,for_sale,189900,4,3,1.01,104019,Vidor,Texas,77662,2315,
81575,for_sale,18000,,,2,1892738,Orange,Texas,77632,,
24643,for_sale,229700,3,2,0.58,987440,Bridge City,Texas,77611,1714,2019-05-01
1851,for_sale,25000,,,1.04,1881595,Orange,Texas,77632,,
27172,for_sale,285000,5,2,0.89,1688227,Orange,Texas,77632,3054,2006-11-17
81575,for_sale,415920,3,2,,1289107,Groves,Texas,77619,2465,
34119,for_sale,30000,,,,1892718,Vidor,Texas,77662,,
18228,for_sale,36999,,,1.55,1887430,Vidor,Texas,77662,,
78177,for_sale,27500,,,0.28,302887,Buna,Texas,77612,,
33745,for_sale,19000,,,0.36,1196871,Orange,Texas,77630,,
1554,for_sale,150000,,,21.5,1893965,Buna,Texas,77612,,
1554,for_sale,150000,,,21.5,4632,Buna,Texas,77612,,
1554,for_sale,418000,,,76.09,858844,Kirbyville,Texas,75956,,
81575,for_sale,400000,,,31.26,1956017,Orange,Texas,77632,,
51514,for_sale,175000,,,17.3,565013,Vidor,Texas,77662,,
81573,for_sale,453000,,,8.17,1762946,Orange,Texas,77630,,
1554,for_sale,225000,,,33.06,1510138,Kirbyville,Texas,75956,,
53573,for_sale,1700000,1,1,147.64,140653,Orange,Texas,77632,1200,
53573,for_sale,50000,3,1,0.31,1663830,Orange,Texas,77632,875,2010-05-21
1851,for_sale,85000,3,1,0.19,1059642,Orange,Texas,77630,1038,2018-09-11
33717,for_sale,42500,,,16,1449290,Orange,Texas,77630,,
93123,for_sale,135000,2,1,,1164227,Kirbyville,Texas,75956,1265,
48623,for_sale,140000,2,1,0.5,718971,Bridge City,Texas,77611,1271,2009-02-23
81573,for_sale,235000,5,4,0.48,568529,Orange,Texas,77630,2515,
24643,for_sale,269900,3,2,0.64,768397,Orange,Texas,77630,2172,
388,for_sale,104900,3,1,0.16,1739801,Bridge City,Texas,77611,1053,2011-10-13
74749,for_sale,139900,3,1,0.2,486548,Orange,Texas,77632,1225,
24643,for_sale,222500,4,2,,801647,Orange,Texas,77632,2571,2017-05-23
81573,for_sale,200000,4,2,1.66,1586261,Vidor,Texas,77662,2400,2019-10-22
81575,for_sale,280000,4,2,0.18,665720,Orange,Texas,77632,2512,2006-06-30
1851,for_sale,29900,,,2.3,807277,West Orange,Texas,77630,,2007-05-21
81575,for_sale,220000,3,2,,1650947,Orange,Texas,77632,1730,2012-05-16
79899,for_sale,875000,4,4,8.9,1731803,Bridge City,Texas,77630,5463,2021-03-22
23859,for_sale,275000,5,3,0.57,1665004,Vidor,Texas,77662,2246,2016-02-08
81575,for_sale,425000,4,3,5,1246373,Vidor,Texas,77662,4288,
24647,for_sale,659900,5,2,21,190660,Orange,Texas,77632,2786,
81573,for_sale,229900,4,2,1.09,566995,Orange,Texas,77632,2539,
81575,for_sale,399900,5,4,2,1315241,Vidor,Texas,77662,3159,
24646,for_sale,46000,,,2.2,1900922,Orange,Texas,77632,,
62208,for_sale,349999,3,2,7.42,303915,Orange,Texas,77630,2476,
78979,for_sale,19500,,,1,1852437,Vidor,Texas,77662,,
81663,for_sale,19500,,,1,1852436,Vidor,Texas,77662,,
81663,for_sale,69000,,,2.47,1956351,Vidor,Texas,77662,,
78979,for_sale,19500,,,0.72,1883952,Vidor,Texas,77662,,
48623,for_sale,58000,,,0.76,1082654,Orange,Texas,77630,,
24646,for_sale,124200,,,6.94,1900922,Orange,Texas,77632,,
78979,for_sale,69000,,,2.46,1956350,Vidor,Texas,77662,,
48623,for_sale,85000,,,0.34,1851583,Bridge City,Texas,77611,,
81575,for_sale,441000,,,26.77,1881568,Bridge City,Texas,77630,,
15671,for_sale,150000,,,0.97,781474,Orange,Texas,77630,,
22960,for_sale,249000,,,1.98,951883,Buna,Texas,77612,,
34119,for_sale,80000,3,1,0.68,52576,West Orange,Texas,77630,1134,
34119,for_sale,81500,1,1,0.61,78788,Vidor,Texas,77662,924,
89697,for_sale,164900,3,2,0.41,1528695,Orange,Texas,77630,2068,
81575,for_sale,259000,5,4,0.73,700089,Orange,Texas,77630,4214,2015-07-13
81575,for_sale,74000,3,1,0.14,1082632,Orange,Texas,77630,1012,
35608,for_sale,149900,3,3,1.03,111639,Vidor,Texas,77662,1489,
97795,for_sale,1300000,4,3,44.57,519445,Kirbyville,Texas,75956,2356,
81575,for_sale,179900,3,2,0.46,563533,Vidor,Texas,77662,1728,
34119,for_sale,149900,3,3,,111640,Vidor,Texas,77662,1489,
72278,for_sale,169900,4,2,5.02,465422,Vidor,Texas,77662,1748,
24647,for_sale,274500,3,2,1,1527388,Orange,Texas,77632,1800,
73709,for_sale,19500,,,,1866205,Buna,Texas,77612,,
,for_sale,315000,3,2,13.01,1797947,Kirbyville,Texas,75956,1669,
1554,for_sale,189900,3,2,0.18,831874,Groves,Texas,77619,1581,
88760,for_sale,164900,3,2,2.27,1807715,Orange,Texas,77630,1680,2006-02-09
81575,for_sale,544000,3,3,10,1406659,Orange,Texas,77632,3102,
23859,for_sale,289000,3,3,0.23,874418,Orange,Texas,77630,1824,
81697,for_sale,230000,4,2,1,266955,Kirbyville,Texas,75956,2055,
4328,for_sale,299999,4,2,,538878,Kirbyville,Texas,75956,,
27172,for_sale,219900,3,2,1,806068,Orange,Texas,77632,1670,2019-03-11
24643,for_sale,300000,4,3,,1075630,Orange,Texas,77632,2589,
22959,for_sale,168000,3,2,0.16,906833,Groves,Texas,77619,1583,
81575,for_sale,224900,4,2,1.35,553579,Buna,Texas,77612,2201,2013-09-13
76981,for_sale,375000,4,3,0.29,1502806,Orange,Texas,77632,3386,
81575,for_sale,28500,,,0.37,569004,Orange,Texas,77630,,
2762,for_sale,185000,2,1,,263931,Buna,Texas,77612,1748,
27172,for_sale,419900,4,6,0.49,1299560,Orange,Texas,77630,3737,2020-11-09
22960,for_sale,29995,,,0.32,131626,Orange,Texas,77630,,
78908,for_sale,52000,,,0.32,1103595,Orange,Texas,77630,,
23859,for_sale,355000,4,5,0.27,1254696,Bridge City,Texas,77611,2779,
24643,for_sale,25000,,,0.41,1934504,Bridge City,Texas,77611,,
4982,for_sale,323212,,,25.85,1946216,Buna,Texas,77612,,
81575,for_sale,159000,,,1,1902082,Orange,Texas,77630,,
1851,for_sale,1500000,,,5.43,1312635,Orange,Texas,77630,,
23859,for_sale,105000,4,3,1.39,1355740,Orange,Texas,77632,2618,
58926,for_sale,115000,1,1,0.32,1527261,Groves,Texas,77619,824,
51514,for_sale,94000,3,1,0.19,1308823,Orange,Texas,77630,1417,2007-01-08
19102,for_sale,230000,4,3,0.77,401823,Orange,Texas,77630,2604,
81575,for_sale,549900,3,3,7.17,1751402,Orange,Texas,77632,2972,
102672,for_sale,205000,4,2,0.32,851631,Orange,Texas,77630,2252,2013-03-04
22960,for_sale,123840,3,2,0.45,1409594,Orange,Texas,77632,1320,2015-05-22
388,for_sale,20000,,,1.32,454913,Orange,Texas,77630,,
102672,for_sale,624000,5,4,5.33,1822296,Orange,Texas,77630,4264,
48625,for_sale,289900,3,2,0.37,143000,Bridge City,Texas,77611,1530,
61825,for_sale,69900,,,10.97,1001684,Orange,Texas,77632,,
23859,for_sale,139900,3,2,0.47,611554,Port Arthur,Texas,77642,1552,
81575,for_sale,369900,4,3,0.37,1100715,Orange,Texas,77630,2255,
81575,for_sale,415000,4,3,0.42,1101411,Orange,Texas,77630,2472,
81663,for_sale,239900,4,2,0.59,710409,Pinehurst,Texas,77630,2832,
81572,for_sale,345000,3,2,0.27,1554039,Bridge City,Texas,77611,2239,2020-04-03
81575,for_sale,269900,4,3,0.28,1281323,Vidor,Texas,77662,2293,2007-04-04
81572,for_sale,190000,3,1,0.68,1392321,Orange,Texas,77630,1447,2012-07-05
19903,for_sale,305000,3,3,2.05,1434930,Orange,Texas,77632,2042,2018-07-31
23859,for_sale,40000,,,0.94,1898793,Orangefield,Texas,77630,,
1554,for_sale,254900,3,2,0.36,1430801,Groves,Texas,77619,1926,
80293,for_sale,218000,3,2,0.23,1235649,Groves,Texas,77619,1620,
53326,for_sale,1700000,1,1,147.64,140653,Orange,Texas,77630,1200,
